gene	pos
IGHV1-NL1	0
IGHV3-NL1	0
IGHV7-NL1	0
IGKV1-NL1	0
IGHVIII-82	1
IGKV3D-7	1
TRAV1-1	1
TRBV1	1
TRGV1	1
IGHV7-81	2
IGKV1D-8	2
IGLVI-70	2
TRAV1-2	2
TRBV2	2
TRGV2	2
IGHV4-80	3
IGKV1D-43	3
IGLV4-69	3
TRAV2	3
TRBV3-1	3
TRGV3	3
IGHV3-79	4
IGKV1D-42	4
IGLVI-68	4
TRAV3	4
TRBV4-1	4
TRGV3P	4
IGHVII-78-1	5
IGKV2D-10	5
IGLV10-67	5
TRAV4	5
TRBV5-1	5
TRGV4	5
IGHV5-78	6
IGKV3D-11	6
IGLVIV-66-1	6
TRAV5	6
TRBV6-1	6
TRGV5	6
IGHV7-77	7
IGKV1D-12	7
IGLVV-66	7
TRAV6	7
TRBV7-1	7
TRGV5P	7
IGHVIII-76-1	8
IGKV1D-13	8
IGLVIV-65	8
TRAV7	8
TRBV4-2	8
TRGV6	8
IGHV3-76	9
IGKV2D-14	9
IGLVIV-64	9
TRAVA	9
TRBV6-2	9
TRGV7	9
IGHV3-75	10
IGKV3D-15	10
IGLVI-63	10
TRAV8-1	10
TRBV3-2	10
TRGV8	10
IGHVII-74-1	11
IGKV1D-16	11
IGLV1-62	11
TRAV9-1	11
TRBV4-3	11
TRGVA	11
IGHV3-74	12
IGKV1D-17	12
IGLV8-61	12
TRAV10	12
TRBV6-3	12
TRGV9	12
IGHV3-73	13
IGKV6D-41	13
IGLV4-60	13
TRAV11	13
TRBV7-2	13
TRGV10	13
IGHV3-72	14
IGKV2D-18	14
IGLVIV-59	14
TRAV12-1	14
TRBV8-1	14
TRGVB	14
IGHV3-71	15
IGKV2D-19	15
IGLVV-58	15
TRAV8-2	15
TRBV5-2	15
TRGV11	15
IGHV2-70	16
IGKV3D-20	16
TRAV8-3	16
TRBV6-4	16
TRGJP1	16
IGHV1-69D	17
IGKV6D-21	17
IGLV6-57	17
TRAVB	17
TRBV7-3	17
TRGJP	17
IGHV1-68D	18
IGKV1D-22	18
