gene	pos
IGHV1-NL1	0
IGHV3-NL1	0
IGHV7-NL1	0
IGHV(III)-82	1
IGHV7-81	2
IGHV4-80	3
IGHV3-79	4
IGHV(II)-78-1	5
IGHV5-78	6
IGHV7-77	7
IGHV(III)-76-1	8
IGHV3-76	9
IGHV3-75	10
IGHV(II)-74-1	11
IGHV3-74	12
IGHV3-73	13
IGHV3-72	14
IGHV3-71	15
IGHV2-70	16
IGHV1-69D	17
IGHV1-68D	18
IGHV(III)-67-4D	19
IGHV(III)-67-3D	20
IGHV1-69-2	21
IGHV3-69-1	22
IGHV2-70D	23
IGHV1-69	24
IGHV1-68	25
IGHV(III)-67-4	26
IGHV(III)-67-3	27
IGHV(III)-67-2	28
IGHV(II)-67-1	29
IGHV1-67	31
IGHV3-66	32
IGHV(II)-65-1	33
IGHV3-65	34
IGHV3-64	35
IGHV3-63	37
IGHV(II)-62-1	38
IGHV3-62	39
IGHV4-61	40
IGHV(II)-60-1	41
IGHV3-60	42
IGHV4-59	43
IGHV1-58	44
IGHV3-57	45
IGHV7-56	46
IGHV4-55	47
IGHV3-54	48
IGHV(II)-53-1	49
IGHV3-53	50
IGHV3-52	51
IGHV(II)-51-2	52
IGHV8-51-1	53
IGHV5-51	54
IGHV3-50	55
IGHV(II)-49-1	56
IGHV3-49	57
IGHV3-48	58
IGHV(III)-47-1	59
IGHV3-47	60
IGHV(II)-46-1	61
IGHV1-46	62
IGHV1-45	63
IGHV(II)-44-2	64
IGHV(IV)-44-1	65
IGHV(III)-44	66
IGHV(II)-43-1	67
IGHV3-43	68
IGHV3-42	69
IGHV3-41	70
IGHV(II)-40-1	71
IGHV7-40	72
IGHV4-39	73
IGHV1-38-4	74
IGHV(III)-38-1D	75
IGHV3-38-3	76
IGHV(III)-44D	77
IGHV(II)-43-1D	78
IGHV3-43D	79
IGHV3-42D	80
IGHV7-40D	81
IGHV4-38-2	82
IGHV(III)-38-1	83
IGHV3-38	84
IGHV3-37	85
IGHV3-36	86
IGHV3-35	87
IGHV7-34-1	88
IGHV4-34	89
IGHV3-33-2	90
